"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090332","GO:0090332","stomatal closure","1/524","45/21644",0.668453882279142,0.859700905819496,0.764988094161415,"ATEXO70B1",1
"GO:0009699","GO:0009699","phenylpropanoid biosynthetic process","2/524","95/21644",0.67345659359158,0.86456440301512,0.769315782343963,"ATMYB3/ATMYBL2",2
"GO:0016441","GO:0016441","posttranscriptional gene silencing","2/524","95/21644",0.67345659359158,0.86456440301512,0.769315782343963,"AtSOD2/ASU1",2
"GO:1903338","GO:1903338","regulation of cell wall organization or biogenesis","1/524","46/21644",0.676497317886611,0.86768134250674,0.772089330196675,"AtMYB20",1
"GO:0008643","GO:0008643","carbohydrate transport","2/524","96/21644",0.679028455162207,0.868567563242714,0.772877916444788,"ATPLT5/ATGPT2",2
"GO:0009063","GO:0009063","cellular amino acid catabolic process","2/524","96/21644",0.679028455162207,0.868567563242714,0.772877916444788,"CYP79B3/NA",2
"GO:0045490","GO:0045490","pectin catabolic process","2/524","96/21644",0.679028455162207,0.868567563242714,0.772877916444788,"ATPME3/NA",2
"GO:0010383","GO:0010383","cell wall polysaccharide metabolic process","3/524","144/21644",0.680903051376328,0.87017935085639,0.774312134236619,"ATBXL1/RWA1/RRT1",3
"GO:0009247","GO:0009247","glycolipid biosynthetic process","1/524","47/21644",0.684345980051044,0.871658235108988,0.775628090563082,"SQD2",1
"GO:0030433","GO:0030433","ubiquitin-dependent ERAD pathway","1/524","47/21644",0.684345980051044,0.871658235108988,0.775628090563082,"NA",1
"GO:0040034","GO:0040034","regulation of development, heterochronic","1/524","47/21644",0.684345980051044,0.871658235108988,0.775628090563082,"NF-YA4",1
"GO:0051130","GO:0051130","positive regulation of cellular component organization","2/524","97/21644",0.684522568814403,0.871658235108988,0.775628090563082,"NA/AFH3",2
"GO:0006220","GO:0006220","pyrimidine nucleotide metabolic process","1/524","48/21644",0.692004576451157,0.874891500227534,0.778505148507552,"CARB",1
"GO:0006221","GO:0006221","pyrimidine nucleotide biosynthetic process","1/524","48/21644",0.692004576451157,0.874891500227534,0.778505148507552,"CARB",1
"GO:0045036","GO:0045036","protein targeting to chloroplast","1/524","48/21644",0.692004576451157,0.874891500227534,0.778505148507552,"CIA2",1
"GO:0046323","GO:0046323","glucose import","1/524","48/21644",0.692004576451157,0.874891500227534,0.778505148507552,"ATPLT5",1
"GO:0072596","GO:0072596","establishment of protein localization to chloroplast","1/524","48/21644",0.692004576451157,0.874891500227534,0.778505148507552,"CIA2",1
"GO:1900424","GO:1900424","regulation of defense response to bacterium","1/524","48/21644",0.692004576451157,0.874891500227534,0.778505148507552,"SAG101",1
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","1/524","48/21644",0.692004576451157,0.874891500227534,0.778505148507552,"AFH3",1
"GO:2000008","GO:2000008","regulation of protein localization to cell surface","1/524","48/21644",0.692004576451157,0.874891500227534,0.778505148507552,"NA",1
"GO:0032879","GO:0032879","regulation of localization","4/524","195/21644",0.698103297252714,0.880409266569116,0.783415025336925,"AtRabE1b/NA/FLS2/MAG5",4
"GO:0016246","GO:0016246","RNA interference","1/524","49/21644",0.699477701193683,0.880409266569116,0.783415025336925,"ASU1",1
"GO:0051084","GO:0051084","'de novo' posttranslational protein folding","1/524","49/21644",0.699477701193683,0.880409266569116,0.783415025336925,"NA",1
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","1/524","49/21644",0.699477701193683,0.880409266569116,0.783415025336925,"NA",1
"GO:0071470","GO:0071470","cellular response to osmotic stress","1/524","49/21644",0.699477701193683,0.880409266569116,0.783415025336925,"AtSOD2",1
"GO:0022900","GO:0022900","electron transport chain","2/524","100/21644",0.700543437934038,0.880967591576019,0.783911839961712,"SDH2-2/NA",2
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process","4/524","196/21644",0.701897123011519,0.881886713561944,0.784729702745797,"CBP60G/AtNCER3/ATMYBL2/ATNCED3",4
"GO:0006275","GO:0006275","regulation of DNA replication","1/524","50/21644",0.70676983754814,0.882527416197678,0.785299819497934,"ATPCNA2",1
"GO:0006900","GO:0006900","vesicle budding from membrane","1/524","50/21644",0.70676983754814,0.882527416197678,0.785299819497934,"MAG5",1
"GO:0034394","GO:0034394","protein localization to cell surface","1/524","50/21644",0.70676983754814,0.882527416197678,0.785299819497934,"NA",1
"GO:0051193","GO:0051193","regulation of cofactor metabolic process","1/524","50/21644",0.70676983754814,0.882527416197678,0.785299819497934,"ATGLK1",1
"GO:0051651","GO:0051651","maintenance of location in cell","1/524","50/21644",0.70676983754814,0.882527416197678,0.785299819497934,"AT-SYR1",1
"GO:0072598","GO:0072598","protein localization to chloroplast","1/524","50/21644",0.70676983754814,0.882527416197678,0.785299819497934,"CIA2",1
"GO:1901264","GO:1901264","carbohydrate derivative transport","1/524","50/21644",0.70676983754814,0.882527416197678,0.785299819497934,"ATGPT2",1
"GO:0010016","GO:0010016","shoot system morphogenesis","4/524","198/21644",0.709381473512281,0.883303005032905,0.785989962105551,"CYP711A1/ASL39/AGAL2/BRH1",4
"GO:0006418","GO:0006418","tRNA aminoacylation for protein translation","1/524","51/21644",0.71388536061588,0.883303005032905,0.785989962105551,"NA",1
"GO:0006458","GO:0006458","'de novo' protein folding","1/524","51/21644",0.71388536061588,0.883303005032905,0.785989962105551,"NA",1
"GO:0006664","GO:0006664","glycolipid metabolic process","1/524","51/21644",0.71388536061588,0.883303005032905,0.785989962105551,"SQD2",1
"GO:0010017","GO:0010017","red or far-red light signaling pathway","1/524","51/21644",0.71388536061588,0.883303005032905,0.785989962105551,"APRR9",1
"GO:0015893","GO:0015893","drug transport","1/524","51/21644",0.71388536061588,0.883303005032905,0.785989962105551,"DIC3",1
"GO:0032436","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","1/524","51/21644",0.71388536061588,0.883303005032905,0.785989962105551,"ARI7",1
"GO:0042214","GO:0042214","terpene metabolic process","1/524","51/21644",0.71388536061588,0.883303005032905,0.785989962105551,"ATNCED3",1
"GO:1903509","GO:1903509","liposaccharide metabolic process","1/524","51/21644",0.71388536061588,0.883303005032905,0.785989962105551,"SQD2",1
"GO:1904659","GO:1904659","glucose transmembrane transport","1/524","51/21644",0.71388536061588,0.883303005032905,0.785989962105551,"ATPLT5",1
"GO:0016114","GO:0016114","terpenoid biosynthetic process","3/524","152/21644",0.71566914140894,0.883303005032905,0.785989962105551,"CYP711A1/ATH1/ATNCED3",3
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","1/524","52/21644",0.720828539934978,0.883303005032905,0.785989962105551,"AFH3",1
"GO:0061640","GO:0061640","cytoskeleton-dependent cytokinesis","1/524","52/21644",0.720828539934978,0.883303005032905,0.785989962105551,"ATCSLB03",1
"GO:1901800","GO:1901800","positive regulation of proteasomal protein catabolic process","1/524","52/21644",0.720828539934978,0.883303005032905,0.785989962105551,"ARI7",1
"GO:2000060","GO:2000060","positive regulation of ubiquitin-dependent protein catabolic process","1/524","52/21644",0.720828539934978,0.883303005032905,0.785989962105551,"ARI7",1
"GO:0009826","GO:0009826","unidimensional cell growth","7/524","342/21644",0.72481982091822,0.883303005032905,0.785989962105551,"HBI1/NA/SIP2/LRX1/AtPRPL1/ATCLC-D/AFH3",7
"GO:0006289","GO:0006289","nucleotide-excision repair","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"ATXPB1",1
"GO:0006475","GO:0006475","internal protein amino acid acetylation","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"OTLD1",1
"GO:0006813","GO:0006813","potassium ion transport","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"ATNHX5",1
"GO:0008645","GO:0008645","hexose transmembrane transport","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"ATPLT5",1
"GO:0009910","GO:0009910","negative regulation of flower development","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"ATGLK1",1
"GO:0016573","GO:0016573","histone acetylation","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"OTLD1",1
"GO:0018393","GO:0018393","internal peptidyl-lysine acetylation","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"OTLD1",1
"GO:0018394","GO:0018394","peptidyl-lysine acetylation","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"OTLD1",1
"GO:0032970","GO:0032970","regulation of actin filament-based process","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"AFH3",1
"GO:0042023","GO:0042023","DNA endoreduplication","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"KAK",1
"GO:0043038","GO:0043038","amino acid activation","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"NA",1
"GO:0043039","GO:0043039","tRNA aminoacylation","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"NA",1
"GO:0071489","GO:0071489","cellular response to red or far red light","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"APRR9",1
"GO:0080154","GO:0080154","regulation of fertilization","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"NA",1
"GO:0080155","GO:0080155","regulation of double fertilization forming a zygote and endosperm","1/524","53/21644",0.727603542022514,0.883303005032905,0.785989962105551,"NA",1
"GO:0009741","GO:0009741","response to brassinosteroid","2/524","106/21644",0.730558518614329,0.883303005032905,0.785989962105551,"ARL2/BRH1",2
"GO:0010410","GO:0010410","hemicellulose metabolic process","2/524","106/21644",0.730558518614329,0.883303005032905,0.785989962105551,"ATBXL1/RWA1",2
"GO:0022411","GO:0022411","cellular component disassembly","2/524","106/21644",0.730558518614329,0.883303005032905,0.785989962105551,"ADF3/ADF9",2
"GO:0071482","GO:0071482","cellular response to light stimulus","2/524","106/21644",0.730558518614329,0.883303005032905,0.785989962105551,"AtSOD2/APRR9",2
"GO:0098771","GO:0098771","inorganic ion homeostasis","6/524","298/21644",0.730937842974148,0.883303005032905,0.785989962105551,"HHO2/AHA2/ATISU1/ATGLR3.6/AHA5/ATNHX5",6
"GO:0021700","GO:0021700","developmental maturation","4/524","204/21644",0.731010174606027,0.883303005032905,0.785989962105551,"ANAC029/ATBZIP10/ASU1/AtPRPL1",4
"GO:0006665","GO:0006665","sphingolipid metabolic process","1/524","54/21644",0.734214432855741,0.883303005032905,0.785989962105551,"AtNCER3",1
"GO:0015749","GO:0015749","monosaccharide transmembrane transport","1/524","54/21644",0.734214432855741,0.883303005032905,0.785989962105551,"ATPLT5",1
"GO:0018208","GO:0018208","peptidyl-proline modification","1/524","54/21644",0.734214432855741,0.883303005032905,0.785989962105551,"AT-P4H-1",1
"GO:0032434","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","1/524","54/21644",0.734214432855741,0.883303005032905,0.785989962105551,"ARI7",1
"GO:1903052","GO:1903052","positive regulation of proteolysis involved in cellular protein catabolic process","1/524","54/21644",0.734214432855741,0.883303005032905,0.785989962105551,"ARI7",1
"GO:1903364","GO:1903364","positive regulation of cellular protein catabolic process","1/524","54/21644",0.734214432855741,0.883303005032905,0.785989962105551,"ARI7",1
"GO:0071396","GO:0071396","cellular response to lipid","7/524","347/21644",0.73845020739012,0.887644731463845,0.789853362743252,"ATBT2/UGT76C2/ATCPK32/ARL2/ABF3/ATEXO70B1/BRH1",7
"GO:0009081","GO:0009081","branched-chain amino acid metabolic process","1/524","55/21644",0.74066518029361,0.888798216352332,0.790879768788092,"NA",1
"GO:0016485","GO:0016485","protein processing","1/524","55/21644",0.74066518029361,0.888798216352332,0.790879768788092,"NA",1
"GO:0006643","GO:0006643","membrane lipid metabolic process","2/524","109/21644",0.744585545158513,0.889384132954691,0.791401135256293,"AtNCER3/SQD2",2
"GO:0090150","GO:0090150","establishment of protein localization to membrane","2/524","109/21644",0.744585545158513,0.889384132954691,0.791401135256293,"AT-SYR1/ATSYP122",2
"GO:0006732","GO:0006732","coenzyme metabolic process","4/524","208/21644",0.744746628242142,0.889384132954691,0.791401135256293,"ATDFD/NA/CYT1/EMB3127",4
"GO:0009069","GO:0009069","serine family amino acid metabolic process","1/524","56/21644",0.74695965644008,0.889384132954691,0.791401135256293,"ATSERAT2;2",1
"GO:0010075","GO:0010075","regulation of meristem growth","1/524","56/21644",0.74695965644008,0.889384132954691,0.791401135256293,"MAIL1",1
"GO:0042364","GO:0042364","water-soluble vitamin biosynthetic process","1/524","56/21644",0.74695965644008,0.889384132954691,0.791401135256293,"CYT1",1
"GO:0045862","GO:0045862","positive regulation of proteolysis","1/524","56/21644",0.74695965644008,0.889384132954691,0.791401135256293,"ARI7",1
"GO:0046364","GO:0046364","monosaccharide biosynthetic process","1/524","56/21644",0.74695965644008,0.889384132954691,0.791401135256293,"CYT1",1
"GO:2000058","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","1/524","56/21644",0.74695965644008,0.889384132954691,0.791401135256293,"ARI7",1
"GO:0009860","GO:0009860","pollen tube growth","3/524","160/21644",0.747434405519832,0.889384132954691,0.791401135256293,"NA/SIP2/AFH3",3
"GO:0001510","GO:0001510","RNA methylation","1/524","57/21644",0.753101639950614,0.894241483102357,0.79572335360803,"DIM1A",1
"GO:0007267","GO:0007267","cell-cell signaling","1/524","57/21644",0.753101639950614,0.894241483102357,0.79572335360803,"ATGLR3.6",1
"GO:0071478","GO:0071478","cellular response to radiation","2/524","111/21644",0.753585714475373,0.894241483102357,0.79572335360803,"AtSOD2/APRR9",2
"GO:0009451","GO:0009451","RNA modification","7/524","353/21644",0.754176427425327,0.894241483102357,0.79572335360803,"NA/pde194/ATECB2/OTP81/NA/PDM1/DIM1A",7
"GO:0009909","GO:0009909","regulation of flower development","3/524","162/21644",0.754917994738442,0.894241483102357,0.79572335360803,"LSU4/ATGLK1/AGAL2",3
"GO:0005996","GO:0005996","monosaccharide metabolic process","2/524","112/21644",0.757982494209926,0.894241483102357,0.79572335360803,"CYT1/NA",2
"GO:0015931","GO:0015931","nucleobase-containing compound transport","2/524","112/21644",0.757982494209926,0.894241483102357,0.79572335360803,"ATRAN1/ATDSS1(I)",2
"GO:0031047","GO:0031047","gene silencing by RNA","2/524","112/21644",0.757982494209926,0.894241483102357,0.79572335360803,"AtSOD2/ASU1",2
"GO:0015995","GO:0015995","chlorophyll biosynthetic process","1/524","58/21644",0.759094818283216,0.894241483102357,0.79572335360803,"ATGLK1",1
"GO:0042752","GO:0042752","regulation of circadian rhythm","1/524","58/21644",0.759094818283216,0.894241483102357,0.79572335360803,"AtTCP21",1
"GO:0061136","GO:0061136","regulation of proteasomal protein catabolic process","1/524","58/21644",0.759094818283216,0.894241483102357,0.79572335360803,"ARI7",1
"GO:0070972","GO:0070972","protein localization to endoplasmic reticulum","1/524","58/21644",0.759094818283216,0.894241483102357,0.79572335360803,"MAG5",1
"GO:0042546","GO:0042546","cell wall biogenesis","5/524","261/21644",0.760427678520083,0.895066993170771,0.796457917651957,"AtMYB20/RWA1/ATCSLB03/AtRABA1c/ATHSGBP",5
"GO:0010411","GO:0010411","xyloglucan metabolic process","1/524","59/21644",0.764942789895353,0.898141783160713,0.79919395959216,"RWA1",1
"GO:0044728","GO:0044728","DNA methylation or demethylation","1/524","59/21644",0.764942789895353,0.898141783160713,0.79919395959216,"H2A.Z",1
"GO:0046890","GO:0046890","regulation of lipid biosynthetic process","1/524","59/21644",0.764942789895353,0.898141783160713,0.79919395959216,"ATH1",1
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","2/524","114/21644",0.766572936668308,0.899310089745091,0.800233554434191,"CARB/PUR4",2
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis","4/524","215/21644",0.767490049569035,0.899640654130591,0.800527700709424,"ATPLT5/CYP711A1/ATH1/XBAT32",4
"GO:0006816","GO:0006816","calcium ion transport","1/524","60/21644",0.770649066388049,0.900501245785345,0.801293481419163,"ACA1",1
"GO:0006874","GO:0006874","cellular calcium ion homeostasis","1/524","60/21644",0.770649066388049,0.900501245785345,0.801293481419163,"ATGLR3.6",1
"GO:0010054","GO:0010054","trichoblast differentiation","2/524","115/21644",0.770768015460337,0.900501245785345,0.801293481419163,"LRX1/AtPRPL1",2
"GO:0046034","GO:0046034","ATP metabolic process","2/524","115/21644",0.770768015460337,0.900501245785345,0.801293481419163,"SDH2-2/NA",2
"GO:0006304","GO:0006304","DNA modification","1/524","61/21644",0.77621707459842,0.902400145838557,0.802983180619055,"H2A.Z",1
"GO:0006473","GO:0006473","protein acetylation","1/524","61/21644",0.77621707459842,0.902400145838557,0.802983180619055,"OTLD1",1
"GO:0009116","GO:0009116","nucleoside metabolic process","1/524","61/21644",0.77621707459842,0.902400145838557,0.802983180619055,"RSW10",1
"GO:1903050","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","1/524","61/21644",0.77621707459842,0.902400145838557,0.802983180619055,"ARI7",1
"GO:1903362","GO:1903362","regulation of cellular protein catabolic process","1/524","61/21644",0.77621707459842,0.902400145838557,0.802983180619055,"ARI7",1
"GO:2000028","GO:2000028","regulation of photoperiodism, flowering","1/524","61/21644",0.77621707459842,0.902400145838557,0.802983180619055,"LSU4",1
"GO:0034637","GO:0034637","cellular carbohydrate biosynthetic process","4/524","219/21644",0.779759018315899,0.904020420657159,0.80442495058476,"RWA1/ATCSLB03/CYT1/RSW10",4
"GO:0048588","GO:0048588","developmental cell growth","4/524","219/21644",0.779759018315899,0.904020420657159,0.80442495058476,"NA/SIP2/AtPRPL1/AFH3",4
"GO:0048229","GO:0048229","gametophyte development","9/524","457/21644",0.779759759250729,0.904020420657159,0.80442495058476,"ATBT2/AtUGP1/ATVPS34/ATLOX4/LecRK-IV.2/AtJAZ1/ATLOX3/PUR4/SAMBA",9
"GO:0090558","GO:0090558","plant epidermis development","5/524","268/21644",0.780164515567125,0.904020420657159,0.80442495058476,"ATELC/LRX1/AtPRPL1/SVB/KAK",5
"GO:0055074","GO:0055074","calcium ion homeostasis","1/524","62/21644",0.7816501586419,0.90500132840305,0.805297792223053,"ATGLR3.6",1
"GO:0010015","GO:0010015","root morphogenesis","5/524","269/21644",0.7828792789088,0.905039329773027,0.805331607001422,"ATPLT5/LRX1/AtPRPL1/XBAT32/MAIL1",5
"GO:0090697","GO:0090697","post-embryonic plant organ morphogenesis","2/524","118/21644",0.782961284584716,0.905039329773027,0.805331607001422,"ATPLT5/XBAT32",2
"GO:0046390","GO:0046390","ribose phosphate biosynthetic process","2/524","119/21644",0.786897464862146,0.90742951138271,0.807458463518513,"CARB/PUR4",2
"GO:0031050","GO:0031050","dsRNA processing","1/524","63/21644",0.786951581905344,0.90742951138271,0.807458463518513,"ASU1",1
"GO:0070918","GO:0070918","production of small RNA involved in gene silencing by RNA","1/524","63/21644",0.786951581905344,0.90742951138271,0.807458463518513,"ASU1",1
"GO:0006720","GO:0006720","isoprenoid metabolic process","4/524","222/21644",0.788620538958141,0.908614062786597,0.808512513496548,"CYP711A1/ATH1/XERICO/ATNCED3",4
"GO:0009606","GO:0009606","tropism","2/524","120/21644",0.790770737851636,0.909690456652851,0.809470321597876,"ATCAL4/SGR6",2
"GO:0045944","GO:0045944","positive regulation of transcription by RNA polymerase II","4/524","223/21644",0.79151041962424,0.909690456652851,0.809470321597876,"ATBZIP60/AT-HSFA4A/NA/AT-HSFB2A",4
"GO:0007033","GO:0007033","vacuole organization","1/524","64/21644",0.792124528992208,0.909690456652851,0.809470321597876,"ATVPS34",1
"GO:0016579","GO:0016579","protein deubiquitination","1/524","64/21644",0.792124528992208,0.909690456652851,0.809470321597876,"OTLD1",1
"GO:0044036","GO:0044036","cell wall macromolecule metabolic process","3/524","173/21644",0.792930386191713,0.909877979617071,0.809637185252479,"ATBXL1/RWA1/RRT1",3
"GO:0048573","GO:0048573","photoperiodism, flowering","2/524","121/21644",0.794581835379287,0.911034719754713,0.81066648791733,"LSU4/ATWNK5",2
"GO:0032270","GO:0032270","positive regulation of cellular protein metabolic process","3/524","174/21644",0.796130005249489,0.9120712681499,0.811588840302877,"SVR7/ARI7/NA",3
"GO:0005984","GO:0005984","disaccharide metabolic process","1/524","65/21644",0.797172107620942,0.912526842676842,0.811994224415834,"AtUGP1",1
"GO:0010228","GO:0010228","vegetative to reproductive phase transition of meristem","4/524","226/21644",0.799990544430715,0.915013417539494,0.814206854590227,"ATH1/LSU4/ASU1/ATWNK5",4
"GO:0048767","GO:0048767","root hair elongation","1/524","66/21644",0.80209735047773,0.915943426029407,0.815034404517693,"AtPRPL1",1
"GO:0061077","GO:0061077","chaperone-mediated protein folding","1/524","66/21644",0.80209735047773,0.915943426029407,0.815034404517693,"NA",1
"GO:1901137","GO:1901137","carbohydrate derivative biosynthetic process","8/524","422/21644",0.804630849020354,0.918096117818551,0.816949935347015,"CYP79B3/AtMYB51/CYT1/UGP3/SQD2/RSW10/CARB/PUR4",8
"GO:1905392","GO:1905392","plant organ morphogenesis","8/524","423/21644",0.80666824626447,0.919207526393338,0.817938900604241,"ATPLT5/ASL39/LRX1/AtPRPL1/XBAT32/MAIL1/AGAL2/BRH1",8
"GO:0044786","GO:0044786","cell cycle DNA replication","1/524","67/21644",0.80690321702466,0.919207526393338,0.817938900604241,"KAK",1
"GO:0009846","GO:0009846","pollen germination","1/524","68/21644",0.81159259526441,0.921583893259346,0.820053464340943,"SIP2",1
"GO:0016197","GO:0016197","endosomal transport","1/524","68/21644",0.81159259526441,0.921583893259346,0.820053464340943,"LAZ4",1
"GO:0045165","GO:0045165","cell fate commitment","1/524","68/21644",0.81159259526441,0.921583893259346,0.820053464340943,"DIM1A",1
"GO:1902275","GO:1902275","regulation of chromatin organization","1/524","68/21644",0.81159259526441,0.921583893259346,0.820053464340943,"OTLD1",1
"GO:0050801","GO:0050801","ion homeostasis","6/524","330/21644",0.813239184715101,0.922713690349826,0.821058792260439,"HHO2/AHA2/ATISU1/ATGLR3.6/AHA5/ATNHX5",6
"GO:0009832","GO:0009832","plant-type cell wall biogenesis","3/524","180/21644",0.81447099548583,0.923371440839019,0.821644078712687,"AtMYB20/RWA1/ATCSLB03",3
"GO:0055080","GO:0055080","cation homeostasis","5/524","282/21644",0.815849024144418,0.923583502403923,0.821832777562813,"AHA2/ATISU1/ATGLR3.6/AHA5/ATNHX5",5
"GO:0006767","GO:0006767","water-soluble vitamin metabolic process","1/524","69/21644",0.816168303462475,0.923583502403923,0.821832777562813,"CYT1",1
"GO:0006812","GO:0006812","cation transport","8/524","428/21644",0.816614791673525,0.923583502403923,0.821832777562813,"NA/ACA1/AHA2/ABCG36/ENOR3L3/AHA5/ENOR3L2/ATNHX5",8
"GO:0044092","GO:0044092","negative regulation of molecular function","2/524","128/21644",0.819580272236589,0.924436323013852,0.822591643359784,"NA/AtTCP21",2
"GO:0048527","GO:0048527","lateral root development","2/524","128/21644",0.819580272236589,0.924436323013852,0.822591643359784,"ATPLT5/XBAT32",2
"GO:0071103","GO:0071103","DNA conformation change","2/524","128/21644",0.819580272236589,0.924436323013852,0.822591643359784,"NA/H2B",2
"GO:0048193","GO:0048193","Golgi vesicle transport","3/524","182/21644",0.820266268923035,0.924436323013852,0.822591643359784,"BP80-3;1/FL7/MAG5",3
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","1/524","70/21644",0.820633091827975,0.924436323013852,0.822591643359784,"AtCAF1a",1
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","7/524","383/21644",0.822643720571379,0.925472943023973,0.823514059470485,"HBI1/NA/SIP2/LRX1/AtPRPL1/ATCLC-D/AFH3",7
"GO:0007010","GO:0007010","cytoskeleton organization","5/524","285/21644",0.822860476883603,0.925472943023973,0.823514059470485,"ADF3/ADF9/TUB8/ATVIIIB/AFH3",5
"GO:0019318","GO:0019318","hexose metabolic process","1/524","71/21644",0.824989644154022,0.9256619145183,0.823682212071369,"NA",1
"GO:0046916","GO:0046916","cellular transition metal ion homeostasis","1/524","71/21644",0.824989644154022,0.9256619145183,0.823682212071369,"ATISU1",1
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","1/524","71/21644",0.824989644154022,0.9256619145183,0.823682212071369,"ATGLR3.6",1
"GO:0010053","GO:0010053","root epidermal cell differentiation","2/524","130/21644",0.826204935704598,0.926291519364774,0.824242453672045,"LRX1/AtPRPL1",2
"GO:0090696","GO:0090696","post-embryonic plant organ development","3/524","185/21644",0.828670061393111,0.927708874167994,0.825503659217282,"ATPLT5/ARL2/XBAT32",3
"GO:0009648","GO:0009648","photoperiodism","2/524","131/21644",0.829434629023079,0.927708874167994,0.825503659217282,"LSU4/ATWNK5",2
"GO:0072657","GO:0072657","protein localization to membrane","2/524","131/21644",0.829434629023079,0.927708874167994,0.825503659217282,"AT-SYR1/ATSYP122",2
"GO:0044282","GO:0044282","small molecule catabolic process","4/524","238/21644",0.831156758538703,0.928435484267871,0.826150219051919,"ATSAL2/CYP79B3/NA/NA",4
"GO:0009932","GO:0009932","cell tip growth","3/524","186/21644",0.831395617268122,0.928435484267871,0.826150219051919,"NA/SIP2/AFH3",3
"GO:0006400","GO:0006400","tRNA modification","1/524","73/21644",0.833388453347081,0.929237189314556,0.826863600661258,"pde194",1
"GO:0048437","GO:0048437","floral organ development","4/524","240/21644",0.835938281532493,0.929237189314556,0.826863600661258,"AtbZIP1/ATH1/ATLOX4/ATLOX3",4
"GO:0035266","GO:0035266","meristem growth","1/524","74/21644",0.837435759936768,0.929237189314556,0.826863600661258,"MAIL1",1
"GO:0051347","GO:0051347","positive regulation of transferase activity","1/524","74/21644",0.837435759936768,0.929237189314556,0.826863600661258,"ATBT2",1
"GO:0051493","GO:0051493","regulation of cytoskeleton organization","1/524","74/21644",0.837435759936768,0.929237189314556,0.826863600661258,"AFH3",1
"GO:2000242","GO:2000242","negative regulation of reproductive process","1/524","74/21644",0.837435759936768,0.929237189314556,0.826863600661258,"ATGLK1",1
"GO:0006261","GO:0006261","DNA-dependent DNA replication","2/524","134/21644",0.838801838390398,0.929237189314556,0.826863600661258,"ATPCNA2/KAK",2
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process","2/524","135/21644",0.84181934565482,0.929237189314556,0.826863600661258,"ATGLK1/SAMBA",2
"GO:0008299","GO:0008299","isoprenoid biosynthetic process","3/524","190/21644",0.841928669138639,0.929237189314556,0.826863600661258,"CYP711A1/ATH1/ATNCED3",3
"GO:0030001","GO:0030001","metal ion transport","5/524","294/21644",0.842609671159695,0.929237189314556,0.826863600661258,"ACA1/ABCG36/ENOR3L3/ENOR3L2/ATNHX5",5
"GO:0048878","GO:0048878","chemical homeostasis","8/524","443/21644",0.844104504060335,0.929237189314556,0.826863600661258,"GH3.5/HHO2/AtbZIP1/AHA2/ATISU1/ATGLR3.6/AHA5/ATNHX5",8
"GO:0043414","GO:0043414","macromolecule methylation","3/524","191/21644",0.844471409207344,0.929237189314556,0.826863600661258,"H2A.Z/OTLD1/DIM1A",3
"GO:0048438","GO:0048438","floral whorl development","3/524","191/21644",0.844471409207344,0.929237189314556,0.826863600661258,"AtbZIP1/ATLOX4/ATLOX3",3
"GO:0090698","GO:0090698","post-embryonic plant morphogenesis","3/524","191/21644",0.844471409207344,0.929237189314556,0.826863600661258,"ATPLT5/ASU1/XBAT32",3
"GO:0009311","GO:0009311","oligosaccharide metabolic process","1/524","76/21644",0.845238347342619,0.929237189314556,0.826863600661258,"AtUGP1",1
"GO:0009742","GO:0009742","brassinosteroid mediated signaling pathway","1/524","76/21644",0.845238347342619,0.929237189314556,0.826863600661258,"BRH1",1
"GO:0043401","GO:0043401","steroid hormone mediated signaling pathway","1/524","76/21644",0.845238347342619,0.929237189314556,0.826863600661258,"BRH1",1
"GO:0046474","GO:0046474","glycerophospholipid biosynthetic process","1/524","76/21644",0.845238347342619,0.929237189314556,0.826863600661258,"ATVPS34",1
